name,packageId
狂戰士養成記：放置型動作RPG,com.cookapps.berserkidle
Mario Kart Tour,com.nintendo.zaka
坦克大作战 - 多人实时在线对战,com.idspe.tanks2
Minecraft,com.mojang.minecraftpe
Among Us,com.innersloth.spacemafia
英雄之王,com.clovergames.lordofheroes
動物森友會 口袋露營廣場,com.nintendo.zaca
Plants vs. Zombies™,com.ea.game.pvzfree_row
糖果蘇打傳奇,com.king.candycrushsodasaga
部落衝突 (Clash of Clans),com.supercell.clashofclans
二戰硝煙,com.bigbreakgames.wot
WePlay - 線上桌遊吧,com.wejoy.weplay
《LINE Rangers》×「Re:ZERO」合作活動,com.linecorp.LGRGS
LesPark-全球女同拉拉les專屬社交平台,com.redwolfama.peonylespark.gp
探探 - 同城交友約會軟體,com.p1.mobile.putong
陰陽師：百聞牌,com.netease.yysbwp.tw
荒野行動-Knives Out,com.netease.hyxdtw
終極狼人殺-一場遊戲交一群好友,cn.orangelab.werewolf
GoodNight - 台灣語音交友、聲音直播 APP,com.one.goodnight
以閃亮之名-與Selina一同開啟時尚生活,com.szn.gat.yslzm.gp
奇迹暖暖,com.netmarbleasia.nikkitw
PUBG MOBILE：絕地求生M,com.rekoo.pubgm
《決勝時刻：現代戰域》手機版,com.activision.callofduty.warzone
全民槍戰：狼人殺機,com.dkgame.gplay.crisisactiontw
火炬之光：無限,com.xd.TLglobal
Facebook,com.facebook.katana
Messenger,com.facebook.orca
《NBA 2K Mobile》手機籃球遊戲,com.catdaddy.nba2km
NBA：直播比賽和比分,com.nbaimd.gametime.nba2011
Garena Free Fire MAX,com.dts.freefiremax
殭屍來了：保命要緊,com.more.dayzsurvival.gp
不休戰隊,com.sevenpirates.idlezh
NonStop Games,com.reloadedapps.nonstop.games
放置奇兵(Idle Heroes),com.droidhang.ad
8 Ball Pool,com.miniclip.eightballpool
不休戰隊-國際版 Nonstop Game: Idle RPG,com.sevenpirates.idle
幻塔,tw.com.iwplay.ht
Sky光·遇,com.tgc.sky.android
神魔之塔,com.madhead.tos.zh
YouTube,com.google.android.youtube
Google 相簿,com.google.android.apps.photos
Google 雲端硬碟,com.google.android.apps.docs
Google One,com.google.android.apps.subscriptions.red
《英雄聯盟：激鬥峽谷》,com.riotgames.league.wildrifttw
Garena 魂斗羅：歸來,com.garena.game.hdltw
傳說對決（美服）,com.ngame.allstar.eu
Random Dice: Defense,com.percent.royaldice
火熱小說,com.xinmo.i18n.app
菠蘿包輕小說-輕小說·漫畫·有聲書,com.sfacg
水仙閱讀—小說連載閱讀看書追更器,net.novelfox.sxyd.app
Lemo - 語音，視訊,com.vostic.android
虎牙直播 – 遊戲電競賽事 視頻&直播平台,com.huya.kiwi
MeMe直播-看直播、交朋友、來一起玩遊戲吧,chat.meme.inke
Up直播 - 直播每個人的精彩,com.asiainno.uplive
仙夢如歌：仙魔覺醒,com.leyoule.syhj
DRAGON BALL Z -七龍珠爆裂激戰-,com.bandainamcogames.dbzdokkanww
貓咪大戰爭,jp.co.ponos.battlecatstw
萬國覺醒,com.lilithgame.roc.gp.tw
劍與遠征,com.lilithgame.hgame.gp.tw
未來戰,com.gamebeans.coside
文明與征服：Era of Conquest,com.wmyzf.an.global
王牌戰爭：文明重啟,com.herogame.gplay.lastdayrulessurvival
迷你世界,com.playmini.miniworld
戰艦世界閃擊戰,net.wargaming.wows.blitz
摩爾莊園,com.rh.mezytw.an
Arcaea – 創新立體節奏遊戲,moe.low.arc
漫威 未來之戰,com.netmarble.mherosgb
像素射擊 3D (Pixel Gun 3D),com.pixel.gun3d
神盾測速照相,tw.com.ainvest.outpack
首席測速照相,com.edgecase.spinel
樂客導航王全3D Pro 正式版（可離線）,com.kingwaytek.naviking3d
樂客導航王全3D（30 天體驗版）,com.kingwaytek.naviking3d.google.std
樂客導航王TM路況預測版,com.kingwaytek.naviking.telemetrics
樂客導航王N5（30 天體驗版）,com.kingwaytek.naviking.std
樂客導航王N5 Pro（可離線）,com.kingwaytek.naviking
元氣騎士,com.ChillyRoom.DungeonShooter
Garena Bed Wars,com.bedwars.app
Garena Blockman GO,com.app.blockmango
"覺醒勇士 - 放置, idle, RPG",kr.co.questgames.druwadungeonag
槍聲,com.zeptolab.bulletecho.google
忍者必須死,com.pandadastudio.ninjamustdie.tc
RO仙境傳說：守護永恆的愛,com.gravity.ro.and
RO仙境傳說：魔物遠征,com.gravity.rot2.aos
楓之谷R：經典新定義,com.rastargames.maplestory
陰陽師Onmyoji,com.onmyoji.hmt2
決戰！平安京,com.netease.g78na.tw
Bigo Live 直播 – 直播平台，全球live實時互動,sg.bigo.live
貓印直播-華人線上Live視頻直播軟體,com.acfantastic.moreinlive
Pairs派愛族：聊天配對遇見愛情約會結婚的交友App,jp.eure.android.pairs_tw
SweetRing - 找到可愛百分百戀人的戀愛交友APP,com.sweetringplus.android
"台灣交友App - Singol, 開始你的約會!",com.singoldating.app01
SayHi聊天約會交友,com.unearby.sayhi
Omi - 會員限時特別優惠等你來領！,sg.omi
交友軟體 Pikabu | 台灣配對率超高、社交零距離,com.pikabu.Pikabu
速約 - 約會交友App,com.speedyloving.app
JD - JustDating 輕鬆聊天約會交友APP,com.davis.justdating
換賴交友 - 約會聊天不限量 | 台灣脫單神器,com.tw.callg
台灣交友約會App - Yueme 約麼,com.yuemeapp.android
Skype,com.skype.raider
KKBOX｜隨時聽音樂、Podcast，享受聲音、找到共鳴！,com.skysoft.kkbox.android
菠蘿包漫畫,com.sfacg.comic
輕小說文庫,org.mewx.wenku8
LINE TV - 精彩隨看 (電視版),com.chocolabs.app.chocotv.tv
LINE Official Account,com.linecorp.lineoa
LINE拍貼,com.linecorp.usersticker
LINE MUSIC,com.linecorp.tw.linemusic
LINE購物 - 比價找優惠、追蹤歷史價格,com.linecorp.twshopping
LINE Pay - 支付體驗 煥然一新,com.linepaytw.upay
薑餅人消消樂,com.devsisters.cookiepuzzle
奔跑! 薑餅人 Running Gingerbread,com.NIU_GINGERBREAD.GINGERBREAD
歡歌-手機K歌就上歡歌,com.cwj.hsing
聊天吧,com.artemis.tpgirl
FaceBar 交友聊天約會不尷尬,com.newface
魔導少年：夥伴集結！,com.garena.game.ftmtw
Garena Blockman Editor,com.blockmaneditor.app
Garena - 一手掌握英雄聯盟 & 傳說對決,com.garena.gaslite
七大罪：光與暗之交戰,com.netmarble.nanagb
破局：三國終章,com.gm99.kd
三國志武將傳-三國英雄養成戰略戰爭動作遊戲,com.yulonggame.rpg
真・三國無雙 霸,com.supernova.zhensan.hktw.google
新三國 漢室復興,com.gamemorefun.sgztw
三國殺名將傳-威力加強版,com.playbest.sgsmjz
三國名將傳,com.heiniao.dsg.hk
三國志名將傳,threekingdoms.herowars.zbgame.gp
悅路小說—小說看不停，小說電子書拇指閱讀器,com.xinyue.academy
"nicee交友-語音聊天,社交組隊玩遊戲",com.funplus.teamup
王國紀元(Lords Mobile),com.igg.android.lordsmobile
Discord - 聊天、視訊通話以及與好友聚會,com.discord
Disney+,com.disney.disneyplus
放置大俠客 - 掛機養成rpg卡牌遊戲,com.zhang.yingtwo
烈火戰記,com.more2.lhzj.gp
三國殺,com.playbest.sgs
三國殺,com.yoka.sgs
神魔三國志,com.eskyfun.kingdoms
奇蹟MU：跨時代,com.gm99.mus
明日方舟,tw.txwy.and.arknights
全面屍控,com.kingsgroup.ss.tw
時之約,com.meta.twigp
刀劍神域 Unleash Blading,com.bandainamcoent.saoars
異界之鑰-夏海時風,com.eyougame.xjhx
